Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,Jose Abreu,36,HOU,141,594,540,62,128,23,1,18,90,0,1,42,130,.237,.296,.383,.680,87,207,16,6,0,6,1,*3/D,abreujo02
2,Wilyer Abreu,24,BOS,28,85,76,10,24,6,0,2,14,3,1,9,23,.316,.388,.474,.862,132,36,0,0,0,0,0,87/H9D,abreuwi02
3,Jordyn Adams,23,LAA,17,40,39,1,5,0,0,0,1,1,2,0,16,.128,.125,.128,.253,-31,5,0,0,0,1,0,/98H7,adamsjo03
5,Jo Adell,24,LAA,17,62,58,7,12,3,1,3,6,1,0,4,25,.207,.258,.448,.706,87,26,1,0,0,0,0,/987DH,adelljo01
6,Jesus Aguilar,33,OAK,36,115,104,8,23,2,0,5,9,0,0,8,31,.221,.281,.385,.665,89,40,3,1,0,1,2,3/DH,aguilje01
7,Hanser Alberto,30,CHW,30,90,82,11,18,5,0,3,16,0,0,4,13,.220,.261,.390,.652,75,32,1,1,2,1,0,54/31H,alberha01
8,Jorge Alfaro,30,BOS,8,20,17,0,2,0,0,0,0,0,0,2,3,.118,.250,.118,.368,5,2,1,1,0,0,0,/2DH,alfarjo01
9,Greg Allen,30,NYY,22,28,23,6,5,1,1,1,1,3,1,2,10,.217,.333,.478,.812,119,11,0,2,1,0,0,7H/98D,allengr01
10,Nick Allen,24,OAK,106,329,303,29,67,4,2,4,20,5,1,17,52,.221,.263,.287,.550,58,87,8,1,6,2,0,6/H4D,allenni02
11,Jose Altuve,33,HOU,90,410,360,76,112,21,2,17,51,14,2,44,71,.311,.393,.522,.915,151,188,9,5,0,1,0,4/DH,altuvjo01
12,Yordan Alvarez,26,HOU,114,496,410,77,120,24,1,31,97,0,0,69,92,.293,.407,.583,.990,170,239,7,13,0,4,5,D7/H,alvaryo01
13,Tim Anderson,30,CHW,123,524,493,52,121,18,2,1,25,13,2,26,122,.245,.286,.296,.582,60,146,15,3,0,2,0,*6/H4,anderti01
14,Elvis Andrus,34,CHW,112,406,374,39,94,20,1,6,44,12,4,25,71,.251,.304,.358,.662,81,134,11,4,1,2,1,46/H5D,andruel01
15,Jonathan Aranda,25,TBR,34,103,87,13,20,4,1,2,13,0,0,13,31,.230,.340,.368,.708,98,32,1,2,0,1,1,D3H/45,arandjo01
16,Gabriel Arias,23,CLE,122,345,315,36,66,15,0,10,26,3,4,28,113,.210,.275,.352,.628,75,111,9,1,0,1,0,63H95/D4,ariasga01
17,Randy Arozarena,28,TBR,151,654,551,95,140,19,3,23,83,22,10,80,156,.254,.364,.425,.789,120,234,10,18,0,5,1,*7D/H,arozara01
18,Christian Arroyo,28,BOS,66,206,195,23,47,16,0,3,24,1,3,7,45,.241,.268,.369,.638,70,72,8,1,1,2,0,4/H56,arroych01
19,Akil Baddoo,24,DET,112,357,312,40,68,13,1,11,34,14,3,42,89,.218,.310,.372,.682,86,116,4,0,2,1,2,7H/8D9,baddoak01
20,Harrison Bader,29,NYY,84,310,288,40,69,11,2,7,37,17,2,14,56,.240,.278,.365,.643,75,105,6,3,1,4,0,8/H,baderha01
21,Javier Baez,30,DET,136,547,510,58,113,18,4,9,59,12,0,24,125,.222,.267,.325,.593,62,166,12,9,0,3,0,*6/DH,baezja01
22,Osleivis Basabe,22,TBR,31,94,87,15,19,5,0,1,12,0,1,6,25,.218,.277,.310,.587,64,27,2,1,0,0,0,6/5H497,basabos01
23,Jake Bauers,27,NYY,84,272,242,28,49,15,0,12,30,3,2,27,95,.202,.279,.413,.693,87,100,3,0,0,3,0,973H/D,bauerja01
24,Matt Beaty,30,KCR,26,67,56,7,13,4,0,0,3,0,0,6,12,.232,.358,.304,.662,86,17,1,5,0,0,0,3/HD9,beatyma01
25,Josh Bell,30,CLE,97,393,347,26,81,19,0,11,48,0,1,43,81,.233,.318,.383,.701,96,133,7,1,0,2,1,D3/H,belljo02
26,Brandon Belt,35,TOR,103,404,339,53,86,23,0,19,43,0,0,61,141,.254,.369,.490,.858,136,166,5,2,0,2,1,D3/H,beltbr01
28,Andrew Benintendi,28,CHW,151,621,562,72,147,34,2,5,45,13,2,52,89,.262,.326,.356,.682,87,200,12,3,1,3,5,*7/HD,beninan01
29,Christian Bethancourt,31,TBR,104,332,315,49,71,16,0,11,33,1,0,13,91,.225,.254,.381,.635,74,120,6,0,1,3,0,2/HD1,bethach01
30,Bo Bichette,25,TOR,135,601,571,69,175,30,3,20,73,5,3,27,115,.306,.339,.475,.814,123,271,14,2,0,1,0,*6/DH,bichebo01
31,Cavan Biggio,28,TOR,111,338,289,54,68,12,0,9,40,5,2,40,88,.235,.340,.370,.710,98,107,0,7,0,2,0,4H935/D6,biggica01
32,Dairon Blanco,30,KCR,69,138,124,19,32,7,4,3,18,24,5,10,33,.258,.324,.452,.775,111,56,2,2,2,0,0,79H/8D,blancda02
33,JJ Bleday,25,OAK,82,303,256,35,50,11,0,10,27,5,1,42,72,.195,.310,.355,.666,91,91,3,2,0,3,0,789/HD,bledajj01
34,Jackie Bradley,33,KCR,43,113,105,10,14,5,0,1,6,0,0,5,29,.133,.188,.210,.397,10,22,3,2,1,0,0,89/7H,bradlja02
35,Michael Brantley,36,HOU,15,57,54,7,15,2,0,2,7,0,0,2,2,.278,.298,.426,.724,98,23,2,0,0,1,0,7/DH,brantmi02
36,Alex Bregman,29,HOU,161,724,622,103,163,28,4,25,98,3,1,92,87,.262,.363,.441,.804,122,274,22,8,0,2,1,*5/D,bregmal01
37,Will Brennan,25,CLE,138,455,432,41,115,24,0,5,41,13,5,16,57,.266,.299,.356,.655,83,154,4,5,0,2,2,*9H8/7D,brennwi02
38,Jonah Bride,27,OAK,40,106,88,9,15,3,0,0,7,0,1,11,22,.170,.286,.205,.490,45,18,3,4,1,2,0,5/HD3,bridejo01
39,Seth Brown,30,OAK,112,378,343,33,76,19,1,14,52,3,1,30,101,.222,.286,.405,.692,96,139,6,2,1,2,1,97HD3,brownse01
40,Vidal Brujan,25,TBR,37,84,76,14,13,2,0,0,6,3,2,5,21,.171,.241,.197,.438,25,15,1,2,1,0,0,4H/695,brujavi01
41,Jake Burger,27,CHW,88,323,294,44,63,15,1,25,52,1,1,22,102,.214,.279,.527,.806,113,155,3,5,0,2,0,5D/H34,burgeja01
42,Lawrence Butler,22,OAK,42,129,123,10,26,4,0,4,10,0,0,4,35,.211,.240,.341,.582,64,42,5,1,0,1,0,8/H9,butlela01
44,Jose Caballero,26,SEA,104,280,231,37,51,9,1,4,26,26,3,28,66,.221,.343,.320,.663,90,74,0,17,0,4,0,4H6/5D7,cabaljo01
45,Trey Cabbage,26,LAA,22,56,53,5,11,3,0,1,7,1,1,2,26,.208,.232,.321,.553,49,17,1,0,0,1,0,/39H78,cabbatr01
47,Oswaldo Cabrera,24,NYY,115,330,298,35,63,11,0,5,29,8,0,25,72,.211,.275,.299,.574,58,89,6,2,3,2,1,795H/46D38,cabreos01
48,Kole Calhoun,35,CLE,43,174,157,18,34,7,0,6,25,0,1,13,37,.217,.282,.376,.657,82,59,3,2,0,2,0,3D/9H,calhoko01
49,Willie Calhoun,28,NYY,44,149,134,16,32,7,0,5,16,0,0,14,20,.239,.309,.403,.712,94,54,2,0,0,1,1,D/9H7,calhowi01
50,Junior Caminero,19,TBR,7,36,34,4,8,1,0,1,7,0,0,2,8,.235,.278,.353,.631,75,12,2,0,0,0,0,/5D64,caminju01
51,Dominic Canzone,25,SEA,44,141,135,19,29,11,0,5,13,1,0,6,24,.215,.248,.407,.656,81,55,4,0,0,0,0,7D/9H,canzodo01
52,Conner Capel,26,OAK,32,86,73,6,19,5,0,0,3,5,3,12,25,.260,.372,.329,.701,104,24,1,1,0,0,0,97/HD,capelco01
53,Kerry Carpenter,25,DET,118,459,418,57,116,17,2,20,64,6,0,32,115,.278,.340,.471,.811,120,197,5,8,0,1,3,9D7/H,carpeke01
54,Evan Carter,20,TEX,23,75,62,15,19,4,1,5,12,3,0,12,24,.306,.413,.645,1.058,182,40,1,0,0,1,1,7/89H,carteev01
55,Triston Casas,23,BOS,132,502,429,66,113,21,2,24,65,0,0,70,126,.263,.367,.490,.856,129,210,7,1,0,2,2,*3H/D,casastr01
56,Willi Castro,26,MIN,124,409,358,60,92,18,5,9,34,33,5,34,99,.257,.339,.411,.750,106,147,5,12,2,3,1,785H4/69D1,castrwi01
57,Yu Chang,27,BOS,39,112,105,12,17,2,0,6,18,4,0,3,34,.162,.200,.352,.552,45,37,2,2,2,0,0,6/4H35D,changyu01
58,Matt Chapman,30,TOR,140,581,509,66,122,39,2,17,54,4,2,62,165,.240,.330,.424,.755,108,216,4,8,0,2,1,*5/DH,chapmma01
59,Ernie Clement,27,TOR,29,52,50,7,19,1,1,1,10,1,0,1,4,.380,.385,.500,.885,144,25,0,0,0,1,0,6H/45D1,clemeer01
60,Oscar Colas,24,CHW,75,263,245,32,53,9,0,5,19,4,3,12,71,.216,.257,.314,.571,55,77,5,2,2,2,1,9/8HD,colasos01
62,Franchy Cordero,28,NYY,24,71,69,9,13,2,0,6,13,0,0,2,25,.188,.211,.478,.690,81,33,0,0,0,0,0,9/7H,cordefr02
64,Colton Cowser,23,BAL,26,77,61,15,7,2,0,0,4,1,0,13,22,.115,.286,.148,.433,28,9,1,2,0,1,0,98/7H,cowseco01
65,J.P. Crawford,28,SEA,145,638,534,94,142,35,0,19,65,2,0,94,125,.266,.380,.438,.818,131,234,7,5,3,2,1,*6/H,crawfjp01
66,C.J. Cron,33,LAA,15,54,50,7,10,0,0,1,5,0,0,4,15,.200,.259,.260,.519,43,13,3,0,0,0,0,3/DH,croncj01
68,Bobby Dalbec,28,BOS,21,53,49,6,10,2,0,1,1,1,0,4,28,.204,.264,.306,.570,54,15,0,0,0,0,0,3/H5D46,dalbebo01
70,Rafael Devers,26,BOS,153,656,580,90,157,34,0,33,100,5,1,62,126,.271,.351,.500,.851,126,290,15,11,0,3,10,*5/DH6,deverra01
71,Aledmys Diaz,32,OAK,109,344,315,25,72,20,1,4,24,1,0,17,66,.229,.280,.337,.616,76,106,14,7,1,4,2,56H743/D,diazal02
73,Jordan Diaz,22,OAK,90,293,272,20,60,9,0,10,27,0,1,17,69,.221,.273,.364,.637,81,99,10,3,0,1,0,54D/H3,diazjo03
74,Yainer Diaz,24,HOU,104,377,355,51,100,22,0,23,60,0,0,11,74,.282,.308,.538,.846,128,191,12,5,0,6,0,2DH/3,diazya02
